R1	Freq_tr(Hz)	V_tr(V)	DC_tr(V)	Freq_sq(Hz)	V_sq(V)	DC_sq(V)	Phase(deg)	rise_tr(s)	fall_tr(s)	rise_sq(s)	fall_sq(s)
60	3330.00	0.7800	4.8350	3320.00	90.0000	44.1200	86.70	0.000103	0.000117	0.000022	0.000026
59	3356.00	0.7800	4.8350	3349.00	90.0000	44.3700	86.90	0.000102	0.000116	0.000022	0.000025
58	3362.00	0.7800	4.8362	3380.00	90.0000	44.7500	86.00	0.000103	0.000118	0.000022	0.000025
57	3397.00	0.7800	4.8362	3407.00	90.0000	45.1300	82.80	0.000104	0.000117	0.000022	0.000026
56	3401.00	0.7800	4.8350	3414.00	90.0000	45.1300	87.90	0.000102	0.000115	0.000022	0.000026
55	3448.00	0.8000	4.8362	3445.00	90.0000	45.5100	84.90	0.000098	0.000108	0.000022	0.000026
54	3471.00	0.7400	4.8375	3474.00	92.0000	45.8800	86.40	0.000093	0.000109	0.000022	0.000026
53	3493.00	0.7400	4.8400	3506.00	90.0000	46.2600	87.30	0.000096	0.000107	0.000022	0.000026
52	3513.00	0.7400	4.8413	3538.00	90.0000	46.6400	86.30	0.000098	0.000108	0.000022	0.000026
51	3571.00	0.7400	4.8413	3571.00	92.0000	47.0100	86.90	0.000097	0.000109	0.000021	0.000025
50	3625.00	0.7200	4.8438	3576.00	90.0000	47.0100	81.50	0.000094	0.000108	0.000022	0.000027
49	3615.00	0.7200	4.8425	3610.00	92.0000	47.5200	87.40	0.000096	0.000104	0.000022	0.000026
48	3640.00	0.7000	4.8438	3648.00	90.0000	47.7700	87.10	0.000090	0.000103	0.000022	0.000026
47	3675.00	0.7000	4.8450	3681.00	90.0000	48.0200	85.60	0.000092	0.000105	0.000022	0.000026
46	3704.00	0.7000	4.8450	3717.00	90.0000	48.1400	86.90	0.000089	0.000104	0.000022	0.000026
45	3711.00	0.7000	4.8438	3722.00	92.0000	48.1400	87.30	0.000091	0.000103	0.000022	0.000026
44	3759.00	0.7000	4.8438	3758.00	90.0000	48.0200	88.00	0.000086	0.000100	0.000022	0.000026
43	3784.00	0.6800	4.8438	3796.00	90.0000	48.0200	85.10	0.000087	0.000095	0.000022	0.000026
42	3836.00	0.6600	4.8438	3837.00	90.0000	47.8900	86.30	0.000083	0.000092	0.000022	0.000026
41	3887.00	0.6600	4.8413	3878.00	92.0000	47.5200	84.90	0.000084	0.000094	0.000022	0.000027
40	3887.00	0.6600	4.8438	3875.00	90.0000	47.5200	87.40	0.000083	0.000094	0.000022	0.000027
39	3939.00	0.6800	4.8400	3922.00	90.0000	47.2600	85.90	0.000084	0.000092	0.000022	0.000027
