Frequency (Hz),Amplitude
283.81347688799997,1.2335410892779718e+20
284.194946615,-135.99999180799387
284.57641634199996,-135.9999918079999
284.957886069,-135.99999180797423
285.339355796,-135.99999180799844
285.720825523,-135.99999180799998
286.10229525,-135.99999180636996
286.48376497699996,1.2335410892779718e+20
286.865234704,-135.99999180799387
287.246704431,-135.9999918079999
287.628174158,-135.99999180799836
288.009643885,-135.99999180799844
288.39111361199997,-135.99999180799998
288.772583339,-135.99999180636996
289.15405306599996,1.2335410892779718e+20
289.535522793,-135.99999180799387
289.91699252,-135.9999918079999
290.298462247,-135.99999180631386
290.679931974,-135.99999180799844
291.06140170099997,-135.99999180799998
291.442871428,-135.99999180759934
291.824341155,1.2335410892779718e+20
292.205810882,-135.99999180799387
292.587280609,-135.9999918079999
292.96875033599997,-135.99999138099986
293.350220063,-135.99999180799844
293.73168978999996,-135.99999180799998
294.113159517,-135.99999180144366
294.494629244,1.2335410892779718e+20
294.876098971,-135.99999180799387
295.257568698,-135.9999918079999
295.63903842499997,-135.99999180799838
296.020508152,-135.99999180799844
296.40197787899996,-135.99999180799998
296.783447606,-135.99999180799367
297.164917333,1.2335410892779718e+20
297.54638706,-135.99999180799387
297.927856787,-135.9999918079999
298.30932651399996,-135.99999180799364
298.690796241,-135.99999180799844
299.072265968,-135.99999180799998
299.453735695,-135.99999180133437
299.835205422,1.2335410892779718e+20
300.21667514899997,-135.99999180799387
300.598144876,-135.9999918079999
300.97961460299996,-135.99999180789519
301.36108433,-135.99999180799844
301.742554057,-135.99999180799998
302.124023784,-135.99999170368727
302.505493511,1.2335410892779718e+20
302.88696323799996,-135.99999180799387
303.268432965,-135.9999918079999
303.649902692,-135.99999180799836
304.031372419,-135.99999180799844
304.412842146,-135.99999180799998
304.79431187299997,-135.99999180158903
305.1757816,1.2335410892779718e+20
305.55725132699996,-135.99999180799387
305.938721054,-135.9999918079999
306.320190781,-135.99999180759664
306.701660508,-135.99999180799844
307.083130235,-135.99999180799998
307.46459996199997,-135.99999139311382
307.846069689,1.2335410892779718e+20
308.22753941599996,-135.99999180799387
308.609009143,-135.9999918079999
308.99047887,-135.9999918079934
309.37194859699997,-135.99999180799844
309.753418324,-135.99999180799998
310.13488805099996,-135.999991386111
310.516357778,1.2335410892779718e+20
310.897827505,-135.99999180799387
311.279297232,-135.9999918079999
311.660766959,-135.99999180758982
312.04223668599997,-135.99999180799844
312.423706413,-135.99999180799998
312.80517613999996,-135.99999139311382
313.186645867,1.2335410892779718e+20
313.568115594,-135.99999180799387
313.949585321,-135.9999918079999
314.331055048,-135.99999138798478
314.71252477499996,-135.99999180799844
315.093994502,-135.99999180799998
315.475464229,-135.9999918078953
315.856933956,1.2335410892779718e+20
316.238403683,-135.99999180799387
316.61987340999997,-135.9999918079999
317.001343137,-135.99999138099986
317.38281286399996,-135.99999180799844
317.764282591,-135.99999180799998
318.145752318,-135.99999180789985
318.527222045,1.2335410892779718e+20
318.908691772,-135.99999180799387
319.29016149899996,-135.9999918079999
319.671631226,-135.99999180799364
320.053100953,-135.99999180799844
320.43457068,-135.99999180799998
320.816040407,-135.99999170253227
321.19751013399997,1.2335410892779718e+20
321.578979861,-135.99999180799387
321.96044958799996,-135.9999918079999
322.341919315,-135.99999170474243
322.723389042,-135.99999180799844
323.104858769,-135.99999180799998
323.486328496,-135.999991807897
323.86779822299997,1.2335410892779718e+20
324.24926795,-135.99999180799387
324.63073767699996,-135.9999918079999
325.012207404,-135.99999180789746
325.393677131,-135.99999180799844
325.77514685799997,-135.99999180799998
326.156616585,-135.9999913930411
326.53808631199996,1.2335410892779718e+20
326.919556039,-135.99999180799387
327.301025766,-135.9999918079999
327.682495493,-135.99999180634114
328.06396522,-135.99999180799844
328.44543494699997,-135.99999180799998
328.826904674,-135.99999180635194
329.20837440099996,1.2335410892779718e+20
329.589844128,-135.99999180799387
