Frequency(Hz)	Amplitude
1.270294190909999941e+02	-1.051699897599999218e+02
1.274108888179999894e+02	-1.051699897599787050e+02
1.277923585449999990e+02	-1.051699897599986855e+02
1.281738282719999802e+02	-1.051699897599999787e+02
1.285552979990000040e+02	-1.051699897599946212e+02
1.289367677259999994e+02	1.048509875360427868e+20
1.293182374529999947e+02	-1.051699897599948059e+02
1.296997071799999901e+02	-1.051699897599999218e+02
1.300811769069999855e+02	-1.051699897599147846e+02
1.304626466339999808e+02	-1.051699897599986855e+02
1.308441163610000046e+02	-1.051699897599999787e+02
1.312255860880000000e+02	-1.051699897599986429e+02
1.316070558149999954e+02	1.048509875360427868e+20
1.319885255419999908e+02	-1.051699897599948059e+02
1.323699952689999861e+02	-1.051699897599999218e+02
1.327514649959999815e+02	-1.051699897376866915e+02
1.331329347230000053e+02	-1.051699897599986855e+02
1.335144044500000007e+02	-1.051699897599999787e+02
1.338958741769999961e+02	-1.051699897544895634e+02
1.342773439039999914e+02	1.048509875360427868e+20
1.346588136309999868e+02	-1.051699897599948059e+02
1.350402833579999822e+02	-1.051699897599999218e+02
1.354217530850000060e+02	-1.051699897599787050e+02
1.358032228120000013e+02	-1.051699897599986855e+02
1.361846925389999967e+02	-1.051699897599999787e+02
1.365661622659999921e+02	-1.051699897599148699e+02
1.369476319929999875e+02	1.048509875360427868e+20
1.373291017199999828e+02	-1.051699897599948059e+02
1.377105714470000066e+02	-1.051699897599999218e+02
1.380920411740000020e+02	-1.051699897599128519e+02
1.384735109009999974e+02	-1.051699897599986855e+02
1.388549806279999927e+02	-1.051699897599999787e+02
1.392364503549999881e+02	-1.051699896708317254e+02
1.396179200819999835e+02	1.048509875360427868e+20
1.399993898089999789e+02	-1.051699897599948059e+02
1.403808595360000027e+02	-1.051699897599999218e+02
1.407623292629999980e+02	-1.051699897599986286e+02
1.411437989899999934e+02	-1.051699897599986855e+02
1.415252687169999888e+02	-1.051699897599999787e+02
1.419067384439999842e+02	-1.051699897543966671e+02
1.422882081709999795e+02	1.048509875360427868e+20
1.426696778980000033e+02	-1.051699897599948059e+02
1.430511476249999987e+02	-1.051699897599999218e+02
1.434326173519999941e+02	-1.051699897599986713e+02
1.438140870789999894e+02	-1.051699897599986855e+02
1.441955568059999848e+02	-1.051699897599999787e+02
1.445770265329999802e+02	-1.051699897585836538e+02
1.449584962600000040e+02	1.048509875360427868e+20
1.453399659869999994e+02	-1.051699897599948059e+02
1.457214357139999947e+02	-1.051699897599999218e+02
1.461029054409999901e+02	-1.051699896727258334e+02
1.464843751679999855e+02	-1.051699897599986855e+02
1.468658448949999809e+02	-1.051699897599999787e+02
1.472473146220000046e+02	-1.051699896683675632e+02
1.476287843490000000e+02	1.048509875360427868e+20
1.480102540759999954e+02	-1.051699897599948059e+02
1.483917238029999908e+02	-1.051699897599999218e+02
1.487731935299999861e+02	-1.051699897596436273e+02
1.491546632569999815e+02	-1.051699897599986855e+02
1.495361329840000053e+02	-1.051699897599999787e+02
1.499176027110000007e+02	-1.051699897599944791e+02
1.502990724379999961e+02	1.048509875360427868e+20
1.506805421649999914e+02	-1.051699897599948059e+02
1.510620118919999868e+02	-1.051699897599999218e+02
1.514434816189999822e+02	-1.051699897599946780e+02
1.518249513460000060e+02	-1.051699897599986855e+02
1.522064210730000013e+02	-1.051699897599999787e+02
1.525878907999999967e+02	-1.051699897379577351e+02
1.529693605269999921e+02	1.048509875360427868e+20
1.533508302539999875e+02	-1.051699897599948059e+02
1.537322999809999828e+02	-1.051699897599999218e+02
1.541137697079999782e+02	-1.051699893970498891e+02
1.544952394350000020e+02	-1.051699897599986855e+02
1.548767091619999974e+02	-1.051699897599999787e+02
1.552581788889999928e+02	-1.051699897599777529e+02
1.556396486159999881e+02	1.048509875360427868e+20
1.560211183429999835e+02	-1.051699897599948059e+02
1.564025880699999789e+02	-1.051699897599999218e+02
