Frequency(Hz)	Amplitude
1.449584962600000040e+02	1.235200000000000000e+04
1.453399659869999994e+02	2.058800000000000000e+04
1.457214357139999947e+02	1.239200000000000000e+04
1.461029054409999901e+02	1.238100000000000000e+04
1.464843751679999855e+02	1.239600000000000000e+04
1.468658448949999809e+02	2.876000000000000000e+04
1.472473146220000046e+02	2.877700000000000000e+04
1.476287843490000000e+02	-3.990000000000000000e+03
1.480102540759999954e+02	8.269000000000000000e+03
1.483917238029999908e+02	8.301000000000000000e+03
1.487731935299999861e+02	2.058100000000000000e+04
1.491546632569999815e+02	-1.628800000000000000e+04
1.495361329840000053e+02	2.877900000000000000e+04
1.499176027110000007e+02	2.464800000000000000e+04
1.502990724379999961e+02	-2.037400000000000000e+04
1.506805421649999914e+02	-2.037600000000000000e+04
1.510620118919999868e+02	-3.267700000000000000e+04
1.514434816189999822e+02	2.878100000000000000e+04
1.518249513460000060e+02	-1.628800000000000000e+04
1.522064210730000013e+02	-1.218600000000000000e+04
1.525878907999999967e+02	-1.627700000000000000e+04
1.529693605269999921e+02	-8.139000000000000000e+03
1.533508302539999875e+02	-3.266000000000000000e+04
1.537322999809999828e+02	2.058300000000000000e+04
1.541137697079999782e+02	1.238200000000000000e+04
1.544952394350000020e+02	2.878000000000000000e+04
1.548767091619999974e+02	-1.629800000000000000e+04
1.552581788889999928e+02	-3.266300000000000000e+04
1.556396486159999881e+02	-8.086000000000000000e+03
1.560211183429999835e+02	-8.113000000000000000e+03
1.564025880699999789e+02	1.649200000000000000e+04
1.567840577970000027e+02	-2.038200000000000000e+04
1.571655275239999980e+02	-1.218800000000000000e+04
1.575469972509999934e+02	2.878000000000000000e+04
1.579284669779999888e+02	4.171000000000000000e+03
1.583099367049999842e+02	-2.037400000000000000e+04
1.586914064319999795e+02	1.239100000000000000e+04
1.590728761590000033e+02	4.191000000000000000e+03
1.594543458859999987e+02	-2.037000000000000000e+04
1.598358156129999941e+02	-8.096000000000000000e+03
1.602172853399999894e+02	1.648600000000000000e+04
1.605987550669999848e+02	2.058700000000000000e+04
1.609802247939999802e+02	-8.123000000000000000e+03
1.613616945210000040e+02	2.058800000000000000e+04
1.617431642479999994e+02	1.648600000000000000e+04
1.621246339749999947e+02	8.290000000000000000e+03
1.625061037019999901e+02	2.468500000000000000e+04
1.628875734289999855e+02	-4.009000000000000000e+03
1.632690431559999809e+02	-3.266300000000000000e+04
1.636505128830000046e+02	-2.447100000000000000e+04
1.640319826100000000e+02	-8.108000000000000000e+03
1.644134523369999954e+02	-1.218000000000000000e+04
1.647949220639999908e+02	8.288000000000000000e+03
1.651763917909999861e+02	-1.218600000000000000e+04
1.655578615179999815e+02	1.649300000000000000e+04
1.659393312450000053e+02	1.645000000000000000e+04
1.663208009720000007e+02	1.080000000000000000e+02
1.667022706989999961e+02	-8.088000000000000000e+03
1.670837404259999914e+02	-1.219600000000000000e+04
1.674652101529999868e+02	-3.988000000000000000e+03
1.678466798799999822e+02	-1.219800000000000000e+04
1.682281496069999776e+02	-3.991000000000000000e+03
1.686096193340000013e+02	2.058800000000000000e+04
1.689910890609999967e+02	8.261000000000000000e+03
1.693725587879999921e+02	-2.037100000000000000e+04
1.697540285149999875e+02	-2.447400000000000000e+04
1.701354982419999828e+02	-1.219100000000000000e+04
1.705169679689999782e+02	2.878100000000000000e+04
1.708984376960000020e+02	-4.012000000000000000e+03
1.712799074229999974e+02	-3.266200000000000000e+04
1.716613771499999928e+02	-3.991000000000000000e+03
1.720428468769999881e+02	1.237700000000000000e+04
1.724243166039999835e+02	1.239800000000000000e+04
1.728057863309999789e+02	-1.628600000000000000e+04
1.731872560580000027e+02	-2.037800000000000000e+04
1.735687257849999980e+02	2.468500000000000000e+04
1.739501955119999934e+02	1.646200000000000000e+04
1.743316652389999888e+02	2.058700000000000000e+04
1.747131349659999842e+02	4.199000000000000000e+03
1.750946046929999795e+02	4.191000000000000000e+03
1.754760744200000033e+02	-2.037100000000000000e+04
1.758575441469999987e+02	-3.267800000000000000e+04
