Frequency(Hz)	Amplitude(dBV)
2.567291e+02	1.648900e+04
2.571106e+02	1.239200e+04
2.574921e+02	1.649800e+04
2.578735e+02	-2.858400e+04
2.582550e+02	1.649600e+04
2.586365e+02	2.059200e+04
2.590179e+02	-2.449000e+04
2.593994e+02	8.306000e+03
2.597809e+02	2.467900e+04
2.601624e+02	-3.266200e+04
2.605438e+02	1.140000e+02
2.609253e+02	-4.020000e+03
2.613068e+02	1.649600e+04
2.616882e+02	-8.084000e+03
2.620697e+02	4.195000e+03
2.624512e+02	-2.446200e+04
2.628326e+02	-2.857400e+04
2.632141e+02	-2.446700e+04
2.635956e+02	-2.446400e+04
2.639771e+02	-2.450000e+04
2.643585e+02	1.240200e+04
2.647400e+02	1.070000e+02
2.651215e+02	-2.037800e+04
2.655029e+02	-1.627100e+04
2.658844e+02	-2.039600e+04
2.662659e+02	1.240000e+04
2.666473e+02	1.110000e+02
2.670288e+02	-1.629000e+04
2.674103e+02	2.059500e+04
2.677917e+02	-1.628100e+04
2.681732e+02	1.649100e+04
2.685547e+02	2.468900e+04
2.689362e+02	4.143000e+03
2.693176e+02	-1.627100e+04
2.696991e+02	-1.218000e+04
2.700806e+02	1.648500e+04
2.704620e+02	1.649900e+04
2.708435e+02	9.600000e+01
2.712250e+02	1.110000e+02
2.716064e+02	-8.080000e+03
2.719879e+02	1.646900e+04
2.723694e+02	8.307000e+03
2.727509e+02	1.649000e+04
2.731323e+02	-3.266200e+04
2.735138e+02	-3.265300e+04
2.738953e+02	-2.858500e+04
2.742767e+02	-3.984000e+03
2.746582e+02	2.878300e+04
2.750397e+02	1.238300e+04
2.754211e+02	2.469100e+04
2.758026e+02	-8.092000e+03
2.761841e+02	1.100000e+02
2.765656e+02	-8.078000e+03
2.769470e+02	1.644700e+04
2.773285e+02	2.878600e+04
2.777100e+02	4.205000e+03
2.780914e+02	-3.266500e+04
2.784729e+02	8.308000e+03
2.788544e+02	9.700000e+01
2.792358e+02	2.878300e+04
2.796173e+02	1.240000e+04
2.799988e+02	-4.004000e+03
2.803802e+02	-1.626800e+04
2.807617e+02	-8.086000e+03
